A,B
30,12
7,1
11,7
92,87
35,16
19,13
62,34
73,20
67,31
12,12
84,14
85,67
6,4
20,3
2,1
70,2
14,9
100,50
17,15
35,24
86,42
74,69
45,7
51,39
93,20
66,5
83,10
3,1
73,68
22,12
53,2
16,9
22,18
1,1
80,70
81,61
67,59
93,17
47,16
35,8
16,13
15,12
32,26
36,13
97,88
74,20
76,11
17,4
32,10
64,23
14,4
33,22
73,41
78,53
10,3
4,4
82,1
61,57
16,9
45,5
83,17
7,6
48,23
16,2
83,50
68,53
38,35
75,50
77,26
21,16
2,1
97,74
82,47
8,3
64,52
24,4
83,30
74,50
82,40
54,54
83,41
93,83
55,12
27,14
5,4
18,6
85,47
2,2
28,28
78,72
52,3
15,11
56,24
57,41
93,70
51,12
49,37
93,84
56,11
93,74
